jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus
Graphic Designer,Female,18,5,College,Operations,2,42363,9938
Software Engineer,Male,21,5,College,Management,5,108476,11128
Warehouse Associate,Female,19,4,PhD,Administration,5,90208,9268
Software Engineer,Male,20,5,Masters,Sales,4,108080,10154
Graphic Designer,Male,26,5,Masters,Engineering,5,99464,9319
IT,Female,20,5,PhD,Operations,4,70890,10126
Graphic Designer,Female,20,5,College,Sales,4,67585,10541
Software Engineer,Male,18,4,PhD,Engineering,5,97523,10240
Graphic Designer,Female,33,5,High School,Engineering,5,112976,9836
Sales Associate,Female,35,5,College,Engineering,5,106524,9941
Graphic Designer,Male,24,5,PhD,Engineering,5,102261,10212
Driver,Female,18,5,College,Management,3,62759,10124
Financial Analyst,Female,19,5,College,Sales,3,84007,8990
Warehouse Associate,Female,30,5,Masters,Administration,5,86220,9583
Warehouse Associate,Female,35,5,PhD,Operations,4,95584,9745
Marketing Associate,Female,27,5,PhD,Management,3,73357,10334
Financial Analyst,Female,23,5,PhD,Administration,5,88422,10768
Warehouse Associate,Female,24,5,College,Administration,5,99545,9949
Sales Associate,Male,21,5,High School,Engineering,5,90386,9461
Data Scientist,Female,30,5,College,Engineering,5,92067,9838
Warehouse Associate,Male,36,5,PhD,Engineering,5,108446,9210
Financial Analyst,Male,24,5,PhD,Sales,3,83323,9329
Warehouse Associate,Male,24,5,PhD,Sales,3,85205,9792
Driver,Female,35,5,College,Management,1,72038,9031
Software Engineer,Male,21,4,PhD,Engineering,5,132823,9625
Graphic Designer,Female,26,5,College,Engineering,2,71182,10015
Software Engineer,Male,19,5,Masters,Administration,4,100305,9618
Graphic Designer,Male,35,5,PhD,Management,3,88566,9469
Warehouse Associate,Male,34,5,PhD,Engineering,4,104271,10177
IT,Female,38,5,College,Administration,5,112392,10504
Software Engineer,Male,20,5,Masters,Management,2,66359,10137
Sales Associate,Male,35,5,Masters,Management,5,103007,10512
Marketing Associate,Female,26,5,PhD,Operations,4,80306,9233
Data Scientist,Female,22,5,High School,Engineering,3,74523,9972
Data Scientist,Female,45,5,PhD,Management,5,113252,10139
Software Engineer,Male,27,5,PhD,Management,4,96040,10050
Software Engineer,Male,21,5,High School,Management,4,91674,9780
Software Engineer,Male,31,5,High School,Operations,3,92928,9094
IT,Female,33,5,College,Management,4,84638,9409
IT,Male,19,5,College,Administration,4,78986,9023
Data Scientist,Male,29,5,PhD,Administration,5,96355,9784
Data Scientist,Male,32,5,PhD,Management,3,87121,8703
Software Engineer,Male,31,5,PhD,Sales,2,88724,8949
Warehouse Associate,Male,22,5,Masters,Engineering,2,58219,9868
Software Engineer,Male,25,5,Masters,Sales,5,119024,11293
Software Engineer,Male,22,5,Masters,Management,3,81503,9729
Data Scientist,Female,21,5,PhD,Operations,3,70643,10033
Graphic Designer,Female,26,5,PhD,Sales,3,74167,10346
Marketing Associate,Male,21,5,College,Management,5,86886,9424
IT,Female,22,5,High School,Sales,4,102120,10215
Sales Associate,Male,18,4,Masters,Operations,5,90780,9353
Software Engineer,Male,18,4,Masters,Operations,4,89474,9104
Marketing Associate,Female,35,5,PhD,Engineering,5,97376,9564
Data Scientist,Female,33,5,Masters,Sales,2,89415,9654
Software Engineer,Female,22,4,Masters,Operations,3,88037,8949
